Shannon Guesses, Shannon Time, Knuth WC Guesses, Knuth WC Time, Knuth Avg Guesses, Knuth Avg Time
4,2.5352,3,2.4601,4,2.7844
3,2.4225,4,2.4281,5,2.7296
3,2.4049,5,2.5649,4,2.6120
3,2.3951,3,2.4041,4,2.4428
3,2.4180,3,2.5419,4,2.7034
5,2.5565,5,2.5592,4,2.6642
3,2.4208,3,2.4007,4,2.4522
3,2.5598,3,2.5547,3,2.6767
3,2.4522,3,2.4068,2,2.4004
3,2.3889,3,2.3822,2,2.3838
3,2.3921,3,2.3654,3,2.3885
3,2.5054,3,2.5005,4,2.5888
3,2.5275,4,2.5739,4,2.6234
3,2.4464,4,2.4552,4,2.5495
3,2.3890,4,2.4176,3,2.4210
4,2.5773,4,2.5747,4,2.6588
5,2.5911,6,2.5981,4,2.7138
4,2.4238,3,2.4062,4,2.4265
4,2.6632,4,2.6725,4,2.8258
4,2.5853,3,2.5612,4,2.6663
3,2.6407,3,2.7193,5,2.7666
4,2.7019,4,2.6662,4,2.7920
4,2.5349,3,2.5225,4,2.5673
3,2.6071,3,2.7368,3,2.7039
4,2.7721,6,2.7351,3,2.8351
3,2.6652,3,2.6377,3,2.6685
5,2.7689,5,2.7365,4,2.6818
4,2.5826,4,2.5299,4,2.5637
3,2.4090,4,2.3936,3,2.4653
3,2.4808,3,2.4734,5,2.6564
4,2.4564,2,2.3471,3,2.3564
4,2.4259,3,2.4104,5,2.5210
3,2.3704,3,2.3756,3,2.3905
4,2.5094,5,2.5265,4,2.6647
5,2.5145,5,2.5139,5,2.6494
3,2.4478,4,2.4531,4,2.5187
5,2.5143,5,2.5170,5,2.6499
4,2.4558,3,2.4536,4,2.5117
3,2.4245,3,2.3514,3,2.3673
3,2.4931,3,2.3498,3,2.3542
3,2.3568,2,2.3474,2,2.3428
3,2.3547,2,2.3450,2,2.3473
2,2.3541,3,2.3489,3,2.3442
3,2.5274,4,2.5110,5,2.5669
4,2.3751,4,2.3575,3,2.3627
3,2.3563,3,2.3468,2,2.3451
4,2.4201,4,2.4194,5,2.5220
4,2.4940,4,2.5135,4,2.5474
4,2.4112,4,2.4168,4,2.5137
4,2.5307,4,2.5079,5,2.5549
4,2.4162,3,2.3384,4,2.3502
5,2.5213,3,2.3396,3,2.3436
4,2.4335,5,2.4387,5,2.5091
3,2.3734,3,2.4855,4,2.6602
4,2.5139,3,2.5006,4,2.6674
3,2.4837,4,2.5125,4,2.6723
4,2.5060,4,2.4690,6,2.6401
4,2.3776,4,2.3616,4,2.4006
4,2.4278,3,2.4294,4,2.4679
4,2.4893,5,2.5126,5,2.6841
3,2.4268,3,2.4165,3,2.4817
4,2.5359,3,2.5106,3,2.5025
4,2.4222,4,2.4126,4,2.4772
5,2.5309,4,2.4942,4,2.4959
5,2.5080,3,2.3416,4,2.3579
5,2.4384,3,2.3439,3,2.3514
3,2.4146,4,2.4153,4,2.5152
5,2.5250,4,2.5064,4,2.5502
3,2.3942,3,2.3534,4,2.3708
3,2.4765,4,2.5146,3,2.6234
3,2.3636,4,2.5146,4,2.6277
5,2.5056,5,2.5034,5,2.6662
4,2.4995,4,2.5091,5,2.6655
3,2.3391,3,2.3345,3,2.3357
2,2.4035,3,2.4032,4,2.4710
3,2.3692,3,2.3716,3,2.3841
4,2.4997,3,2.4891,4,2.6320
5,2.5009,5,2.4946,4,2.6257
3,2.3728,3,2.3678,5,2.4091
4,2.5004,4,2.5084,3,2.6237
4,2.3698,2,2.3512,4,2.3654
2,2.3489,2,2.3432,4,2.3523
2,2.3504,2,2.3415,3,2.3488
3,2.4113,3,2.4175,3,2.5089
4,2.3745,4,2.3727,3,2.3864
3,2.4871,4,2.5102,4,2.6292
4,2.4725,4,2.4721,3,2.5593
3,2.4212,3,2.4254,3,2.4655
4,2.4703,5,2.5020,4,2.6193
3,2.3485,3,2.3673,4,2.4100
4,2.4981,3,2.3425,3,2.3483
4,2.5047,4,2.4677,4,2.6223
5,2.5240,5,2.5155,4,2.5026
4,2.5065,4,2.5233,3,2.6221
4,2.4136,4,2.4228,3,2.4670
4,2.5305,4,2.5218,4,2.5013
4,2.5085,4,2.4918,4,2.5707
4,2.4248,4,2.4433,4,2.4799
3,2.3466,3,2.3363,2,2.3444
3,2.3462,2,2.3291,2,2.3339
2,2.3429,2,2.3226,2,2.3237
5,2.4972,5,2.4936,4,2.5556
3,2.4093,5,2.4314,5,2.4683
2,2.3316,2,2.3268,3,2.3314
3,2.3400,3,2.3322,3,2.3401
4,2.4969,5,2.4958,4,2.5597
4,2.4306,4,2.4272,3,2.4565
3,2.3973,4,2.3984,4,2.4633
5,2.5156,3,2.4836,3,2.4849
4,2.4110,4,2.4084,4,2.5041
4,2.5165,4,2.5126,4,2.4979
4,2.4165,4,2.4125,4,2.5057
4,2.4936,4,2.5084,4,2.5005
4,2.4968,4,2.4681,5,2.5702
3,2.3732,3,2.3674,3,2.3866
4,2.4291,4,2.4230,3,2.4536
3,2.3479,4,2.3817,5,2.4849
4,2.5058,4,2.4922,5,2.6695
4,2.3945,3,2.3695,4,2.4742
3,2.3459,3,2.3368,3,2.3322
3,2.3392,3,2.3316,3,2.3323
3,2.4050,5,2.4160,4,2.5050
4,2.5147,4,2.5066,3,2.4786
3,2.3374,2,2.3228,3,2.3277
3,2.4547,4,2.4581,4,2.5488
3,2.4103,4,2.4140,4,2.4609
5,2.5072,5,2.5121,5,2.6668
4,2.3732,3,2.3345,3,2.3612
5,2.5038,4,2.5167,2,2.6173
4,2.4766,4,2.5143,3,2.6497
5,2.5145,4,2.4866,6,2.6664
3,2.3394,2,2.3340,3,2.3356
5,2.5165,5,2.4903,3,2.6220
3,2.3621,4,2.5158,5,2.6652
4,2.4655,5,2.4955,4,2.6231
3,2.3580,3,2.3608,4,2.3977
3,2.4841,3,2.4790,3,2.6129
6,2.5163,4,2.4925,4,2.6413
4,2.4927,5,2.4949,5,2.6601
4,2.4943,5,2.4979,3,2.6157
3,2.3414,3,2.3340,3,2.3379
3,2.4485,3,2.3276,3,2.3498
4,2.3636,2,2.3261,3,2.3310
3,2.4804,4,2.4979,4,2.6179
4,2.4807,5,2.5031,3,2.6178
4,2.5018,4,2.4785,6,2.6595
3,2.4554,3,2.4630,4,2.6115
4,2.4607,3,2.4679,5,2.6598
3,2.3708,3,2.3661,4,2.4738
4,2.3588,3,2.5086,4,2.6459
6,2.5133,4,2.4847,4,2.6456
4,2.4673,5,2.5192,4,2.6236
4,2.3800,4,2.3704,5,2.4754
4,2.4675,5,2.4928,4,2.6408
3,2.4584,4,2.4733,4,2.6495
5,2.4975,4,2.4579,5,2.6189
4,2.5086,3,2.4921,4,2.4936
4,2.4733,5,2.5155,4,2.6481
4,2.5007,5,2.5174,3,2.6215
4,2.3840,3,2.3638,4,2.4711
4,2.4615,5,2.4922,5,2.6152
4,2.4277,4,2.4284,5,2.5003
2,2.3537,4,2.4892,3,2.5615
2,2.3450,3,2.3646,3,2.3791
3,2.3463,3,2.4109,4,2.4461
4,2.4863,5,2.4936,6,2.6619
3,2.3636,3,2.3670,3,2.3808
3,2.4153,3,2.4154,4,2.4551
2,2.3635,4,2.3444,3,2.3553
4,2.3423,4,2.3377,3,2.3475
3,2.3492,3,2.3412,3,2.3429
4,2.4639,4,2.4622,4,2.5532
3,2.4147,3,2.4166,4,2.4660
4,2.4826,3,2.3340,4,2.3571
3,2.3662,3,2.3331,3,2.3364
3,2.4917,4,2.5102,4,2.6498
5,2.5027,3,2.3435,3,2.3513
4,2.3645,4,2.3656,4,2.3975
3,2.4874,4,2.5012,3,2.6144
5,2.4966,5,2.4947,4,2.5581
3,2.4144,5,2.4348,3,2.4658
3,2.3500,5,2.4874,4,2.5612
3,2.3483,4,2.4345,4,2.4557
3,2.4557,3,2.4498,4,2.5455
3,2.4097,2,2.4144,4,2.4620
2,2.3287,3,2.3368,2,2.3345
2,2.3387,2,2.3281,3,2.3353
4,2.4733,4,2.4810,5,2.6472
4,2.4281,5,2.4262,5,2.4935
6,2.4941,6,2.4910,7,2.6593
4,2.3575,4,2.3637,3,2.3709
4,2.4850,4,2.4961,3,2.6075
3,2.3363,4,2.4013,4,2.4646
2,2.3504,2,2.4778,3,2.4853
3,2.3508,3,2.4805,4,2.4814
3,2.3390,4,2.4680,7,2.6588
3,2.3409,5,2.4261,4,2.4902
3,2.3366,2,2.3230,2,2.3220
3,2.3454,4,2.3367,3,2.3445
3,2.3411,3,2.3260,2,2.3227
4,2.4196,4,2.4146,5,2.5114
4,2.5020,4,2.5117,4,2.5298
4,2.4426,4,2.4205,3,2.4729
3,2.4961,4,2.5181,4,2.5271
6,2.4992,5,2.4940,5,2.5568
4,2.4248,3,2.3293,3,2.3365
5,2.4906,3,2.4508,6,2.6625
5,2.4380,5,2.4393,4,2.4962
3,2.4560,3,2.4577,7,2.6741
4,2.3700,4,2.3700,3,2.3789
3,2.4870,4,2.5035,5,2.6462
5,2.4264,4,2.4092,5,2.5059
4,2.3552,4,2.3625,4,2.3962
4,2.4801,5,2.4990,4,2.6324
3,2.4702,4,2.4999,3,2.6300
4,2.4099,4,2.4226,4,2.4625
4,2.4248,4,2.4142,3,2.4835
4,2.4203,4,2.4167,4,2.4934
4,2.4816,4,2.5006,5,2.6482
4,2.4837,4,2.5063,4,2.4876
5,2.4766,5,2.4881,6,2.6523
4,2.4223,4,2.4174,5,2.4944
3,2.3821,2,2.3571,3,2.4682
3,2.3785,4,2.3735,5,2.4866
5,2.4325,3,2.3956,4,2.4619
4,2.4943,5,2.5221,5,2.5266
4,2.3928,4,2.3839,5,2.4882
3,2.3769,3,2.3346,3,2.3501
4,2.4711,4,2.5104,4,2.7017
3,2.4965,5,2.5216,4,2.6758
5,2.4940,5,2.4825,5,2.6417
3,2.3464,3,2.4292,5,2.5036
3,2.3632,5,2.5198,4,2.6184
4,2.4711,3,2.3335,3,2.3442
2,2.3347,3,2.3369,3,2.3404
3,2.3488,3,2.3335,3,2.3439
4,2.4315,3,2.4018,5,2.5150
3,2.3592,5,2.4283,3,2.4801
3,2.3514,2,2.3703,4,2.4095
3,2.3583,3,2.4814,4,2.6197
3,2.3776,2,2.3381,4,2.3646
4,2.3853,3,2.3646,4,2.4846
4,2.4803,5,2.5249,4,2.6195
3,2.4459,6,2.4887,4,2.6057
3,2.4823,4,2.5028,4,2.5139
3,2.3665,4,2.5198,4,2.6753
4,2.3805,3,2.3630,4,2.4702
2,2.3355,4,2.3721,5,2.4797
3,2.3657,5,2.3765,6,2.4821
5,2.3880,4,2.3728,5,2.4788
4,2.3590,5,2.5136,5,2.6768
2,2.4743,5,2.5010,4,2.5062
4,2.4852,5,2.5035,5,2.5162
3,2.4709,5,2.4985,4,2.6408
3,2.3399,3,2.3301,3,2.3402
4,2.4805,3,2.5038,4,2.5162
5,2.4964,5,2.5070,5,2.5201
4,2.4728,3,2.4740,4,2.6813
4,2.3679,5,2.4959,5,2.5677
3,2.3389,4,2.3602,3,2.3744
3,2.3641,3,2.4885,4,2.6368
5,2.5036,5,2.5058,4,2.6139
3,2.3573,3,2.3494,3,2.3753
4,2.4871,4,2.4938,3,2.6211
3,2.3591,2,2.3341,3,2.3464
3,2.3438,3,2.3388,4,2.3425
3,2.3330,3,2.3375,3,2.3432
3,2.4584,3,2.4596,3,2.5503
3,2.4184,3,2.4156,3,2.4617
4,2.4760,4,2.4893,4,2.6146
3,2.3530,4,2.4284,5,2.5085
3,2.4639,5,2.5012,5,2.6180
3,2.4899,4,2.5051,4,2.5196
4,2.4974,4,2.4970,4,2.6427
3,2.3549,3,2.3690,4,2.4059
4,2.4884,4,2.4910,4,2.6445
3,2.4546,4,2.4618,4,2.5570
4,2.4259,3,2.4122,4,2.4685
5,2.4989,5,2.4935,5,2.6522
3,2.4206,4,2.4332,4,2.4730
2,2.3472,3,2.4101,3,2.4732
3,2.3466,3,2.3646,3,2.3785
4,2.3838,4,2.4963,4,2.6438
3,2.3636,5,2.5211,4,2.6741
5,2.4872,6,2.5061,4,2.5576
3,2.3697,4,2.3641,4,2.3816
3,2.4180,3,2.4183,4,2.4572
6,2.5117,6,2.5119,5,2.6241
3,2.4827,4,2.5088,5,2.5255
4,2.5070,3,2.3379,3,2.3419
5,2.4975,5,2.4949,5,2.6537
4,2.3534,5,2.4374,5,2.5101
3,2.4067,4,2.4164,4,2.5036
5,2.5093,4,2.5065,5,2.5248
4,2.4856,5,2.5045,4,2.5587
4,2.4200,4,2.4276,5,2.5061
4,2.4291,4,2.4212,4,2.4968
3,2.4837,4,2.5094,3,2.5241
3,2.4038,4,2.4090,3,2.4749
4,2.5045,3,2.4881,3,2.4813
3,2.3988,3,2.3983,4,2.4686
4,2.5044,3,2.4864,3,2.4812
3,2.3805,4,2.3709,4,2.4749
3,2.3502,4,2.4914,4,2.5617
3,2.3575,3,2.4865,4,2.4898
4,2.4831,6,2.5007,4,2.5657
3,2.3625,3,2.4944,3,2.4977
3,2.4680,3,2.4590,6,2.6500
4,2.4241,5,2.4293,5,2.5015
4,2.4212,3,2.3961,4,2.5121
3,2.3547,4,2.3589,5,2.3987
4,2.4842,4,2.4915,5,2.6429
4,2.3547,3,2.3330,4,2.3424
3,2.3395,2,2.3250,3,2.3253
3,2.4604,3,2.4776,3,2.6736
3,2.3520,3,2.3440,4,2.3576
2,2.3461,2,2.3375,3,2.3351
3,2.4234,3,2.4007,5,2.5203
4,2.4885,4,2.5009,4,2.5218
3,2.3706,4,2.5420,3,2.6992
4,2.5056,4,2.4962,3,2.5662
4,2.5428,2,2.4468,3,2.4567
4,2.6153,2,2.4400,3,2.4447
4,2.6132,5,2.6129,5,2.7595
4,2.5217,3,2.5118,4,2.5964
4,2.5719,4,2.5841,4,2.7782
6,2.5972,5,2.5999,6,2.7525
4,2.5140,4,2.5123,4,2.5906
3,2.4355,3,2.4261,3,2.4338
2,2.4258,2,2.4199,3,2.4213
3,2.4254,2,2.4134,2,2.4126
3,2.5731,4,2.5930,4,2.7346
4,2.5931,5,2.6035,4,2.6119
3,2.5740,5,2.6022,4,2.6085
5,2.5120,4,2.4967,5,2.5538
4,2.5742,4,2.5817,4,2.7436
4,2.5608,4,2.5651,4,2.7913
4,2.5654,3,2.5587,6,2.8178
3,2.5494,4,2.5997,4,2.7691
4,2.5616,3,2.5613,6,2.8144
4,2.5567,4,2.5675,3,2.6985
4,2.5497,5,2.6049,5,2.7897
4,2.5451,5,2.6045,5,2.7862
3,2.4094,3,2.4035,3,2.3997
3,2.5658,3,2.5567,5,2.7850
4,2.5479,3,2.4013,3,2.4087
4,2.5532,5,2.5969,3,2.6895
4,2.4303,5,2.5871,6,2.7862
4,2.4884,5,2.4778,5,2.5863
3,2.4214,3,2.4221,4,2.4602
4,2.5479,3,2.5481,3,2.6870
4,2.5410,5,2.5627,5,2.6236
5,2.5720,5,2.5613,3,2.5473
4,2.5329,5,2.5696,5,2.7361
4,2.5383,4,2.5295,4,2.7466
4,2.5355,4,2.5802,4,2.7376
5,2.5323,5,2.5768,3,2.6681
4,2.4129,3,2.5618,4,2.6732
4,2.5187,2,2.5667,4,2.7331
3,2.5257,4,2.5578,3,2.6804
4,2.5533,3,2.3904,3,2.4071
3,2.3900,2,2.3773,3,2.3829
3,2.4080,5,2.5665,6,2.7834
2,2.3839,3,2.4059,4,2.4521
3,2.3901,4,2.4589,4,2.5268
4,2.4116,4,2.5456,3,2.5381
5,2.5372,4,2.5348,5,2.7700
3,2.5353,5,2.5816,7,2.7941
4,2.5406,4,2.5266,6,2.7709
3,2.3861,4,2.4173,3,2.4874
4,2.5481,3,2.5387,5,2.6001
3,2.4210,3,2.6318,3,2.7584
5,2.6354,4,2.6717,3,2.6973
5,2.5558,5,2.5798,3,2.6815
4,2.5353,5,2.5868,6,2.7898
5,2.5682,3,2.4955,3,2.4855
3,2.5172,3,2.4340,4,2.5522
4,2.6702,5,2.6590,5,2.9515
